Участок-3;517;01.03.2021 13:29;1;1;1;0:03:00;;;30.мар;16:22:00;7:40:00;77;0:12:45;0;;77;0,319444444;;;7:40:00;77;;77;16:22:00
Участок-3;517;01.03.2021 13:31;0;1;1;;0:02:00;;31.мар;16:00:00;7:59:00;108;0:08:53;0;;108;0,332638889;;;7:59:00;108;;108;16:00:00
Участок-3;517;01.03.2021 13:35;1;1;1;0:04:00;;;01.апр;10:31:00;13:19:00;106;0:05:57;0;;106;0,554861111;;;13:19:00;106;;106;10:31:00
Участок-3;517;01.03.2021 13:48;0;1;1;;0:13:00;;02.апр;19:21:00;4:10:00;31;0:37:27;1;;;;;;4:10:00;31;;31;19:21:00
Участок-3;517;01.03.2021 13:48;1;1;1;0:00:00;;;03.апр;15:36:00;9:02:00;116;0:08:04;0;;116;0,376388889;;;9:02:00;116;;116;15:36:00
Участок-3;517;01.03.2021 13:53;0;1;1;;0:05:00;;04.апр;14:23:00;8:54:00;122;0:07:04;0;;122;0,370833333;;;8:54:00;122;;122;14:23:00
Участок-3;517;01.03.2021 13:53;1;1;1;0:00:00;;;05.апр;12:37:00;11:54:00;102;0:07:25;0;;102;0,495833333;;;11:54:00;102;;102;12:37:00
Участок-3;517;01.03.2021 13:58;0;1;1;;0:05:00;;06.апр;11:52:00;12:17:00;108;0:06:36;0;;108;0,511805556;;;12:17:00;108;;108;11:52:00
Участок-3;517;01.03.2021 14:13;1;1;2;0:15:00;;;07.апр;11:40:00;12:24:00;77;0:09:05;0;;77;0,516666667;;;12:24:00;77;;77;11:40:00
Участок-3;517;01.03.2021 14:27;0;1;2;;0:14:00;;08.апр;10:33:00;13:18:00;106;0:05:58;0;;106;0,554166667;;;13:18:00;106;;106;10:33:00
Участок-3;517;01.03.2021 14:28;1;1;2;0:01:00;;;09.апр;13:44:00;10:23:00;84;0:09:49;0;;84;0,432638889;;;10:23:00;84;;84;13:44:00
Участок-3;517;01.03.2021 14:38;0;1;2;;0:10:00;;10.апр;10:04:00;13:45:00;87;0:06:57;0;;87;0,572916667;;;13:45:00;87;;87;10:04:00
Участок-3;517;01.03.2021 14:40;1;1;2;0:02:00;;;11.апр;12:00:00;12:11:00;104;0:06:55;0;;104;0,507638889;;;12:11:00;104;;104;12:00:00
Участок-3;517;01.03.2021 14:58;0;1;2;;0:18:00;;12.апр;8:04:00;15:57:00;94;0:05:09;0;;94;0,664583333;;;15:57:00;94;;94;8:04:00
